AREA_CD,CATEGORY,AREA_NM,ADM_CD,ADM_NM,overlap_area,poi_area,poi_share
POI001,관광특구,강남 MICE 관광특구,11230580,삼성1동,190150.6110039012,190406.71205334883,0.9986549788781822
POI001,관광특구,강남 MICE 관광특구,11230790,대치2동,256.10104944792005,190406.71205334883,0.0013450211218193019
POI002,관광특구,동대문 관광특구,11020690,신당동,304974.24080473155,610692.6933437496,0.4993906823002813
POI002,관광특구,동대문 관광특구,11020590,광희동,288073.5043195823,610692.6933437496,0.47171598327512676
POI002,관광특구,동대문 관광특구,11020600,을지로동,17342.655906489512,610692.6933437496,0.02839833535838228
POI002,관광특구,동대문 관광특구,11010670,창신1동,302.2923129404886,610692.6933437496,0.0004949990662002777
POI003,관광특구,명동 관광특구,11020550,명동,580125.6174807015,928285.7552399307,0.6249429275479494
POI003,관광특구,명동 관광특구,11020520,소공동,230328.73570899758,928285.7552399307,0.24812266525566293
POI003,관광특구,명동 관광특구,11020540,회현동,117322.64953912601,928285.7552399307,0.12638635126831396
POI003,관광특구,명동 관광특구,11010610,종로1·2·3·4가동,479.31128440749535,928285.7552399307,0.0005163402343533856
POI003,관광특구,명동 관광특구,11010530,사직동,29.44122669889647,928285.7552399307,3.171569372115045e-05
POI004,관광특구,이태원 관광특구,11030650,이태원1동,285104.78149291786,392659.4815533104,0.7260865836349603
POI004,관광특구,이태원 관광특구,11030740,한남동,107297.01693601355,392659.4815533104,0.2732571655001437
POI004,관광특구,이태원 관광특구,11030660,이태원2동,250.92996452794785,392659.4815533104,0.0006390523502330854
POI004,관광특구,이태원 관광특구,11030520,용산2가동,6.753159854645244,392659.4815533104,1.7198514672129175e-05
POI005,관광특구,잠실 관광특구,11240590,오륜동,1447344.0716225917,2334343.337919284,0.6200219342681104
POI005,관광특구,잠실 관광특구,11240800,잠실3동,366121.81185993564,2334343.337919284,0.15684145768645932
POI005,관광특구,잠실 관광특구,11240770,잠실6동,271193.8352305855,2334343.337919284,0.11617564169986835
POI005,관광특구,잠실 관광특구,11240580,방이2동,173933.12584476796,2334343.337919284,0.07451051566381969
POI005,관광특구,잠실 관광특구,11240630,석촌동,36210.221999977155,2334343.337919284,0.015511952081673264
POI005,관광특구,잠실 관광특구,11240610,송파1동,25022.112237915764,2334343.337919284,0.010719122517863723
