AREA_CD,AREA_NM,CATEGORY,longitude,latitude
POI001,강남 MICE 관광특구,관광특구,127.06006322535292,37.51100008791761
POI002,동대문 관광특구,관광특구,127.01102250964654,37.567310949663316
POI003,명동 관광특구,관광특구,126.98185084656961,37.56414939750344
POI004,이태원 관광특구,관광특구,126.99437259156177,37.53443795020957
POI005,잠실 관광특구,관광특구,127.11527319873072,37.51647961589791
POI006,종로·청계 관광특구,관광특구,126.99736949909673,37.57000204286264
POI007,홍대 관광특구,관광특구,126.92127380951906,37.55391863088714
POI008,경복궁,고궁·문화유산,126.97676548627172,37.579876191361905
POI010,보신각,고궁·문화유산,126.98341117762193,37.570585021042206
POI011,서울 암사동 유적,고궁·문화유산,127.13075901630724,37.560632206314025
POI012,창덕궁·종묘,고궁·문화유산,126.9933528139561,37.57869538172067
POI013,가산디지털단지역,인구밀집지역,126.88010693075918,37.48089014587521
POI014,강남역,인구밀집지역,127.02813397421653,37.498856537483064
POI015,건대입구역,인구밀집지역,127.06819539165495,37.539967224887086
POI016,고덕역,인구밀집지역,127.15487195707354,37.55345533554899
POI017,고속터미널역,인구밀집지역,127.00585498662926,37.50481413591259
POI018,교대역,인구밀집지역,127.01395829070951,37.492201221623645
POI019,구로디지털단지역,인구밀집지역,126.89618254710541,37.48387771873501
POI020,구로역,인구밀집지역,126.88212201179692,37.50234990261117
POI021,군자역,인구밀집지역,127.08019500071383,37.556316041009254
POI023,대림역,인구밀집지역,126.89554267915263,37.492667382298244
POI024,동대문역,인구밀집지역,127.00965415731665,37.5714810745693
POI025,뚝섬역,인구밀집지역,127.0461369121814,37.548290611436926
POI026,미아사거리역,인구밀집지역,127.03074073612318,37.612195146874726
POI027,발산역,인구밀집지역,126.83917330787986,37.559151265784976
POI029,사당역,인구밀집지역,126.98126571672974,37.47793078155846
POI030,삼각지역,인구밀집지역,126.9738836702251,37.535340833345295
POI031,서울대입구역,인구밀집지역,126.95306255365607,37.48061295792665
POI032,서울식물원·마곡나루역,인구밀집지역,126.83106118262737,37.567596822705184
POI033,서울역,인구밀집지역,126.97302795937438,37.55659426761306
POI034,선릉역,인구밀집지역,127.04980709537688,37.50605401495277
POI035,성신여대입구역,인구밀집지역,127.01686525698611,37.59239313074053
POI036,수유역,인구밀집지역,127.02569738118468,37.641484898485764
POI037,신논현역·논현역,인구밀집지역,127.02340577573347,37.50808017556543
POI038,신도림역,인구밀집지역,126.89020466396073,37.50909932360344
POI039,신림역,인구밀집지역,126.9293371040304,37.484676872332386
POI040,신촌·이대역,인구밀집지역,126.93897225552698,37.55703548982643
POI041,양재역,인구밀집지역,127.03397153289743,37.48533943040839
POI042,역삼역,인구밀집지역,127.03818407248963,37.500392018889386
POI043,연신내역,인구밀집지역,126.92072503308968,37.61865926932028
POI044,오목교역·목동운동장,인구밀집지역,126.87664127497831,37.528810448947695
POI045,왕십리역,인구밀집지역,127.03890031903448,37.56221583832794
POI046,용산역,인구밀집지역,126.96082151643354,37.53025575408529
POI047,이태원역,인구밀집지역,126.99304838507229,37.534185854634664
POI048,장지역,인구밀집지역,127.12327538329079,37.478750445739166
POI049,장한평역,인구밀집지역,127.06478597942812,37.56180438435488
POI050,천호역,인구밀집지역,127.12501265317093,37.53923891816981
POI051,총신대입구(이수)역,인구밀집지역,126.98104236707536,37.486002470249716
POI052,충정로역,인구밀집지역,126.96369130027816,37.559696312072624
POI053,합정역,인구밀집지역,126.91173504654564,37.549376308464794
POI054,혜화역,인구밀집지역,127.00176394583988,37.582481564010905
POI055,홍대입구역(2호선),인구밀집지역,126.92300749766534,37.55676229428818
POI056,회기역,인구밀집지역,127.05616190913359,37.590540427299
POI058,가락시장,발달상권,127.11189565429567,37.49346832575963
POI059,가로수길,발달상권,127.02357216325453,37.52138908845363
POI072,여의도,발달상권,126.92553181526434,37.5250221035014
POI060,광장(전통)시장,발달상권,126.99990379244595,37.57000290812958
POI061,김포공항,발달상권,126.80259927297416,37.56227196861083
POI063,노량진,발달상권,126.94405588226556,37.51389391990078
POI064,덕수궁길·정동길,발달상권,126.97178459403749,37.566350930288564
POI090,난지한강공원,공원,126.87732836074208,37.56650156793552
POI091,남산공원,공원,126.99376250437943,37.55157704858235
POI066,북촌한옥마을,발달상권,126.98400155508041,37.58223562119403
POI067,서촌,발달상권,126.96957490855172,37.58036730874691
POI068,성수카페거리,발달상권,127.05659661429402,37.542966703519795
POI070,쌍문역,인구밀집지역,127.0340386646485,37.647658602133475
POI071,압구정로데오거리,발달상권,127.03873419081378,37.525495449216606
POI073,연남동,발달상권,126.92233996119447,37.56161789548116
POI074,영등포 타임스퀘어,발달상권,126.90615131565357,37.51686313069877
POI076,용리단길,발달상권,126.97129385936087,37.53118559773959
POI077,이태원 앤틱가구거리,발달상권,126.99391843614373,37.53223132896571
POI078,인사동,발달상권,126.98606341960298,37.573863205415904
POI079,창동 신경제 중심지,발달상권,127.05470584048452,37.65614767873766
POI080,청담동 명품거리,발달상권,127.04376536286237,37.52583160117244
POI081,청량리 제기동 일대 전통시장,발달상권,127.03998062318041,37.58082959603939
POI082,해방촌·경리단길,발달상권,126.98718315084638,37.542370572433825
POI083,DDP(동대문디자인플라자),발달상권,127.01028923130227,37.56698802153244
POI084,DMC(디지털미디어시티),발달상권,126.89179459701857,37.57927757224351
POI085,강서한강공원,공원,126.81854906209382,37.58651418844021
POI086,고척돔,공원,126.86702254092114,37.4976718080954
POI087,광나루한강공원,공원,127.12981325759091,37.5539861135056
POI088,광화문광장,공원,126.97692109689507,37.57340946249959
POI089,국립중앙박물관·용산가족공원,공원,126.98142744630951,37.522767529334764
POI092,노들섬,공원,126.95866146507464,37.517557212867786
POI093,뚝섬한강공원,공원,127.07151503735663,37.529184578869554
POI094,망원한강공원,공원,126.8992682025301,37.553280968783206
POI095,반포한강공원,공원,126.99467395052741,37.50982545117861
POI096,북서울꿈의숲,공원,127.04111610228534,37.62185221347769
POI098,서리풀공원·몽마르뜨공원,공원,127.00268292088947,37.49158276309037
POI100,서울대공원,공원,127.0171563717951,37.429006439667695
POI101,서울숲공원,공원,127.03764827058836,37.54296299312812
POI102,아차산,공원,127.10281078764197,37.56684163059546
POI112,청계산,공원,127.05001897555101,37.440738798121075
POI103,양화한강공원,공원,126.89818551147869,37.54130493112905
POI104,어린이대공원,공원,127.08136092799951,37.54906168491154
POI105,여의도한강공원,공원,126.92822425009278,37.52898688856775
POI106,월드컵공원,공원,126.88420180637279,37.57018784461808
POI107,응봉산,공원,127.03046606730463,37.54821460566729
POI108,이촌한강공원,공원,126.96665157702367,37.519401258026804
POI109,잠실종합운동장,공원,127.07364847109685,37.51452193105316
POI110,잠실한강공원,공원,127.08429723711888,37.5192342164334
POI111,잠원한강공원,공원,127.01472787531294,37.52381019409699
POI114,북창동 먹자골목,발달상권,126.97849783296606,37.562263757128996
POI115,남대문시장,발달상권,126.97852671589727,37.55991523883686
POI116,익선동,발달상권,126.98963066880002,37.57266141714002
POI127,올림픽공원,공원,127.12241093517741,37.51940817828078
POI117,신정네거리역,인구밀집지역,126.85527572874257,37.521306158607345
POI118,잠실새내역,인구밀집지역,127.08265624825476,37.51041317634629
POI119,잠실역,인구밀집지역,127.10036650926355,37.51199706343989
POI120,잠실롯데타워·석촌호수,발달상권,127.10330578006419,37.51155937258966
POI121,송리단길·호수단길,발달상권,127.10631410406954,37.5080471044047
POI122,신촌 스타광장,발달상권,126.93693080023147,37.556508960476954
POI123,보라매공원,공원,126.92005614547337,37.49296259554149
POI124,서대문독립공원,공원,126.95660711775498,37.574091327917046
POI125,안양천,공원,126.87969694170987,37.51866731650166
POI128,홍제폭포,공원,126.93698366368889,37.58078784270657
POI129,송현녹지광장,공원,126.98371098761383,37.57785724554036
POI130,시의회 앞,인구밀집지역,126.97693902581061,37.56706877264108
POI131,숭례문,인구밀집지역,126.97572944996362,37.56048612258056
POI009,광화문·덕수궁,고궁·문화유산,126.97718629099774,37.570930528916946
POI126,여의서로,공원,126.91458422792132,37.532700536848175
